// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\270d9f88-6918-4310-acab-abd53673fe72
// command took 2,54s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\270d9f88-6918-4310-acab-abd53673fe72
// command took 16,11s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\270d9f88-6918-4310-acab-abd53673fe72
// command took 5,33s and exited with 0
// ***** Done, took 00:00:24 (24.12 sec)   *****
// Found 2 benchmarks:
//   FileRead.GetEachWordInContentUsingReadAsText: DefaultJob
//   FileRead.GetEachWordInContentUsingReadToEnd: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: FileRead.GetEachWordInContentUsingReadAsText: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 270d9f88-6918-4310-acab-abd53673fe72.dll --anonymousPipes 1556 1544 --benchmarkName Program+FileRead.GetEachWordInContentUsingReadAsText --job Default --benchmarkId 0 in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\270d9f88-6918-4310-acab-abd53673fe72\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 575400.00 ns, 575.4000 us/op
WorkloadJitting  1: 1 op, 13223000.00 ns, 13.2230 ms/op

OverheadJitting  2: 16 op, 864900.00 ns, 54.0562 us/op
WorkloadJitting  2: 16 op, 5184100.00 ns, 324.0063 us/op

WorkloadPilot    1: 16 op, 3821900.00 ns, 238.8688 us/op
WorkloadPilot    2: 32 op, 6598400.00 ns, 206.2000 us/op
WorkloadPilot    3: 64 op, 12704100.00 ns, 198.5016 us/op
WorkloadPilot    4: 128 op, 23293800.00 ns, 181.9828 us/op
WorkloadPilot    5: 256 op, 44088800.00 ns, 172.2219 us/op
WorkloadPilot    6: 512 op, 88063400.00 ns, 171.9988 us/op
WorkloadPilot    7: 1024 op, 176120400.00 ns, 171.9926 us/op
WorkloadPilot    8: 2048 op, 330508500.00 ns, 161.3811 us/op
WorkloadPilot    9: 4096 op, 605660600.00 ns, 147.8664 us/op

OverheadWarmup   1: 4096 op, 41400.00 ns, 10.1074 ns/op
OverheadWarmup   2: 4096 op, 46300.00 ns, 11.3037 ns/op
OverheadWarmup   3: 4096 op, 45500.00 ns, 11.1084 ns/op
OverheadWarmup   4: 4096 op, 33200.00 ns, 8.1055 ns/op
OverheadWarmup   5: 4096 op, 35800.00 ns, 8.7402 ns/op
OverheadWarmup   6: 4096 op, 33200.00 ns, 8.1055 ns/op

OverheadActual   1: 4096 op, 42700.00 ns, 10.4248 ns/op
OverheadActual   2: 4096 op, 112800.00 ns, 27.5391 ns/op
OverheadActual   3: 4096 op, 34000.00 ns, 8.3008 ns/op
OverheadActual   4: 4096 op, 42800.00 ns, 10.4492 ns/op
OverheadActual   5: 4096 op, 53300.00 ns, 13.0127 ns/op
OverheadActual   6: 4096 op, 64900.00 ns, 15.8447 ns/op
OverheadActual   7: 4096 op, 51500.00 ns, 12.5732 ns/op
OverheadActual   8: 4096 op, 47100.00 ns, 11.4990 ns/op
OverheadActual   9: 4096 op, 47700.00 ns, 11.6455 ns/op
OverheadActual  10: 4096 op, 46700.00 ns, 11.4014 ns/op
OverheadActual  11: 4096 op, 46800.00 ns, 11.4258 ns/op
OverheadActual  12: 4096 op, 46300.00 ns, 11.3037 ns/op
OverheadActual  13: 4096 op, 47500.00 ns, 11.5967 ns/op
OverheadActual  14: 4096 op, 47800.00 ns, 11.6699 ns/op
OverheadActual  15: 4096 op, 45800.00 ns, 11.1816 ns/op
OverheadActual  16: 4096 op, 45600.00 ns, 11.1328 ns/op
OverheadActual  17: 4096 op, 47500.00 ns, 11.5967 ns/op
OverheadActual  18: 4096 op, 40700.00 ns, 9.9365 ns/op
