// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\11dd67cc-ff56-4c40-b369-98b86ec6c556
// command took 2,46s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\11dd67cc-ff56-4c40-b369-98b86ec6c556
// command took 17,13s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\11dd67cc-ff56-4c40-b369-98b86ec6c556
// command took 5,42s and exited with 0
// ***** Done, took 00:00:25 (25.17 sec)   *****
// Found 2 benchmarks:
//   FileRead.GetEachWordInContentUsingReadAsText: DefaultJob
//   FileRead.GetEachWordInContentUsingReadToEnd: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: FileRead.GetEachWordInContentUsingReadAsText: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 11dd67cc-ff56-4c40-b369-98b86ec6c556.dll --anonymousPipes 1928 1416 --benchmarkName Program+FileRead.GetEachWordInContentUsingReadAsText --job Default --benchmarkId 0 in C:\Users\esc\source\repos\FileWordCounter\FileWordCounterBenchMarkTest\bin\Release\net7.0\11dd67cc-ff56-4c40-b369-98b86ec6c556\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 418900.00 ns, 418.9000 us/op
WorkloadJitting  1: 1 op, 440438900.00 ns, 440.4389 ms/op

OverheadJitting  2: 1 op, 600.00 ns, 600.0000 ns/op
WorkloadJitting  2: 1 op, 368227200.00 ns, 368.2272 ms/op

WorkloadWarmup   1: 1 op, 354341400.00 ns, 354.3414 ms/op
WorkloadWarmup   2: 1 op, 347154700.00 ns, 347.1547 ms/op
WorkloadWarmup   3: 1 op, 362173800.00 ns, 362.1738 ms/op
WorkloadWarmup   4: 1 op, 347045300.00 ns, 347.0453 ms/op
WorkloadWarmup   5: 1 op, 357222400.00 ns, 357.2224 ms/op
WorkloadWarmup   6: 1 op, 354967800.00 ns, 354.9678 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 347467500.00 ns, 347.4675 ms/op
WorkloadActual   2: 1 op, 352549900.00 ns, 352.5499 ms/op
WorkloadActual   3: 1 op, 331621400.00 ns, 331.6214 ms/op
WorkloadActual   4: 1 op, 342487400.00 ns, 342.4874 ms/op
WorkloadActual   5: 1 op, 359659400.00 ns, 359.6594 ms/op
WorkloadActual   6: 1 op, 353007900.00 ns, 353.0079 ms/op
WorkloadActual   7: 1 op, 372555900.00 ns, 372.5559 ms/op
WorkloadActual   8: 1 op, 352905200.00 ns, 352.9052 ms/op
WorkloadActual   9: 1 op, 355606400.00 ns, 355.6064 ms/op
WorkloadActual  10: 1 op, 354098100.00 ns, 354.0981 ms/op
WorkloadActual  11: 1 op, 363227300.00 ns, 363.2273 ms/op
WorkloadActual  12: 1 op, 348561200.00 ns, 348.5612 ms/op
WorkloadActual  13: 1 op, 345155400.00 ns, 345.1554 ms/op
WorkloadActual  14: 1 op, 351679900.00 ns, 351.6799 ms/op
WorkloadActual  15: 1 op, 365610900.00 ns, 365.6109 ms/op
WorkloadActual  16: 1 op, 437013500.00 ns, 437.0135 ms/op
WorkloadActual  17: 1 op, 413117600.00 ns, 413.1176 ms/op
WorkloadActual  18: 1 op, 460605000.00 ns, 460.6050 ms/op
WorkloadActual  19: 1 op, 404436000.00 ns, 404.4360 ms/op
WorkloadActual  20: 1 op, 387440100.00 ns, 387.4401 ms/op
WorkloadActual  21: 1 op, 360672800.00 ns, 360.6728 ms/op
WorkloadActual  22: 1 op, 397260200.00 ns, 397.2602 ms/op
WorkloadActual  23: 1 op, 421481500.00 ns, 421.4815 ms/op
WorkloadActual  24: 1 op, 406207800.00 ns, 406.2078 ms/op
WorkloadActual  25: 1 op, 407233600.00 ns, 407.2336 ms/op
WorkloadActual  26: 1 op, 446292300.00 ns, 446.2923 ms/op
